anio,C2F6 (t),CF4 (t),CH4 (t),CO (t),CO2 (t),CO2e (t) GTP-AR2,CO2e (t) GTP-AR4,CO2e (t) GTP-AR5,CO2e (t) GTP-AR6,CO2e (t) GWP-AR2,CO2e (t) GWP-AR4,CO2e (t) GWP-AR5,CO2e (t) GWP-AR6,COVNM (t),HFC-125 (t),HFC-134a (t),HFC-143a (t),HFC-152a (t),HFC-23 (t),HFC-32 (t),N2O (t),NOx (t),SF6 (t)
1980,1.0805392781201533,16.52520395994625,2111.6393061959516,2791.8995072500443,43117.075654088,38761.77764112612,38761.77764112612,36320.6403155396,37219.45219221319,59691.5076059945,64227.59775164404,66058.64061800376,65923.7961047958,1365.4501950689457,0.0,0.0,0.0,0.0,0.0,0.0,46.96451034407457,344.35382228818384,0.0
1981,1.0631246005756214,16.258872967498917,2150.5737782317456,2668.683826862488,40550.58314847629,37320.26932147457,37320.26932147457,34876.52002874925,35794.0945004331,58591.74850890275,63224.818305624474,65152.431565345374,64982.50673300188,1198.4783424130364,0.0,0.0,0.0,0.0,0.0,0.0,46.18680748291358,344.0129757737965,0.0
1982,1.2645739873193953,18.6076901034026,2173.6912323255788,2724.414118068518,40883.5106011315,37648.12472397198,37648.12472397198,35178.523167457985,36111.10164412629,59135.75977039256,63821.980304222045,65774.23270421955,65605.07646866357,1247.9689084704737,0.0,0.0,0.0,0.0,0.0,0.0,46.495603401458645,355.4412640811402,0.0
1983,1.7466543176080365,24.198663100671215,2187.9435254865843,2745.306274292398,38613.33620580688,36467.392931246046,36467.392931246046,33981.942863871336,34926.71588948231,58065.322344880165,62790.438266417616,64778.89771445517,64594.26896742206,1205.554391031198,0.0,0.0,0.0,0.0,0.0,0.0,46.35738206937679,350.2628385636495,0.0
1984,2.0071776915370236,27.13935423927752,2257.5785821484083,2897.559169971933,39098.27563235921,37304.49288506612,37304.49288506612,34726.83610430925,35706.62368456077,59592.10383323072,64466.50533930225,66512.73272403098,66325.09672240046,1237.5169965968905,0.0,0.0,0.0,0.0,0.0,0.0,48.17897042892979,363.82080415990214,0.0
1985,2.486367966352722,31.87845910456124,2276.949369517624,3044.089464832911,41605.84618053646,38842.902282081726,38842.902282081726,36235.2384457332,37233.188740301775,61304.44364926849,66224.97944504001,68273.55522942789,68106.49530400155,937.8032658709775,0.0,0.0,0.0,0.0,0.0,0.0,48.53411451407639,393.6048888658561,0.0
1986,3.5376842618622484,42.3726325896449,2328.5224925789694,3219.4708962143877,46122.83394017065,41778.285575238486,41778.285575238486,39089.713887022386,40113.476162581275,64716.42852347494,69756.1551307789,71820.48866936436,71674.28367850317,880.5119737747972,0.0,0.0,0.0,0.0,0.0,0.0,49.69701705040748,423.19837830032026,0.0
1987,3.981541425490011,46.61069600135178,2389.0551972141743,3186.8789425038754,47537.176339984704,43071.699004421316,43071.699004421316,40298.33664223764,41338.08120881984,66604.05358608041,71774.78724921517,73881.07366152461,73724.04003008083,837.0367404531746,0.0,0.0,0.0,0.0,0.0,0.0,51.31467059219588,434.2798589050416,0.0
1988,4.131054401090533,48.15614982842749,2455.8626164031316,3191.800660329431,48565.529300176415,43988.54144839054,43988.54144839054,41153.71329355403,42228.31303031646,68159.45749015697,73480.57751924814,75664.16272260036,75501.02469583695,926.5094297624588,0.0,0.0,0.0,0.0,0.0,0.0,52.086734645889834,437.7292545953763,0.0
1989,4.2075785084293615,48.830373205106845,2522.6094017656374,3293.349871680296,49320.417098015256,44939.940629351244,44939.940629351244,42019.80001172004,43116.82859016427,69780.16083879743,75242.2928249065,77479.76587890985,77305.11445347329,1003.8158453979011,0.0,0.0,0.0,0.0,0.0,0.0,53.87593887645365,437.5746180405305,0.0
